;product;area;room;bath;garage;adress;price
4;Apartamento com 2 Quartos à Venda/Aluguel 66m²;120 m²;2 Quartos;2 Banheiros;1 Vaga;Rua Acary Margarida, 522 - Canasvieiras, Florianópolis - SC;"R$ 650 /dia
R$ 680.000"
5;Cobertura com 4 Quartos para Aluguel, 210m²;120;4 Quartos;4 Banheiros;2 Vagas;Rua Luiz Elias Daux, 723 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 5.340 /mês
6;Apartamento com 2 Quartos para Aluguel, 85m²;280 m²;2 Quartos;2 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 550 /dia
7;Sala/Conjunto para Aluguel, 33m²;280;-- Quarto;2 Banheiros;1 Vaga;Rua Jaci Albino da Silva - Barreiros, São José - SC;R$ 2.100 /mês
8;Casa com 5 Quartos para Aluguel, 400m²;66 m²;5 Quartos;6 Banheiros;4 Vagas;Rua dos Meros - Jurerê Internacional, Florianópolis - SC;R$ 2.500 /dia
9;Casa com 4 Quartos para Aluguel, 350m²;66;4 Quartos;5 Banheiros;5 Vagas;Joao Paulo, Florianópolis - SC;R$ 8.800 /mês
10;Casa com 5 Quartos para Aluguel, 250m²;210 m²;5 Quartos;4 Banheiros;2 Vagas;Servidão Aconchego - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 1.150 /dia
11;Apartamento com 2 Quartos para Aluguel, 80m²;210;2 Quartos;1 Banheiro;-- Vaga;Rua Francisco Goulart, 103 - Trindade, Florianópolis - SC;R$ 1.500 /mês
12;Sala/Conjunto para Aluguel, 36m²;85 m²;-- Quarto;1 Banheiro;1 Vaga;Rua Lauro Linhares - Trindade, Florianópolis - SC;R$ 1.905 /mês
13;Apartamento com 2 Quartos para Aluguel, 72m²;85;2 Quartos;2 Banheiros;2 Vagas;Rua Lauro Linhares, 925 - Trindade, Florianópolis - SC;R$ 2.700 /mês
14;Sala/Conjunto para Aluguel, 30m²;33 m²;-- Quarto;1 Banheiro;-- Vaga;Santo Antônio de Lisboa, Florianópolis - SC;R$ 2.000 /mês
15;Apartamento com 2 Quartos para Aluguel, 68m²;33;2 Quartos;1 Banheiro;1 Vaga;Rua Felipe Schmidt, 835 - Centro, Florianópolis - SC;R$ 4.000 /mês
16;Casa com Quarto para Aluguel, 420m²;400 m²;1 Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 22.000 /mês
17;Casa com 4 Quartos para Aluguel, 280m²;400;4 Quartos;4 Banheiros;2 Vagas;Rua das Manjubas - Jurerê Internacional, Florianópolis - SC;R$ 3.900 /dia
18;Casa com Quarto para Aluguel, 245m²;350 m²;1 Quarto;4 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 14.000 /mês
19;Sala/Conjunto para Aluguel, 44m²;350;-- Quarto;-- Banheiro;-- Vaga;Avenida Prefeito Acácio Garibaldi S. Thiago - Lagoa da Conceição, Florianópolis - SC;R$ 2.500 /mês
20;Cobertura com 3 Quartos para Aluguel, 124m²;250 m²;3 Quartos;2 Banheiros;2 Vagas;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 600 /dia
21;Imóvel comercial para Aluguel, 12m²;250;-- Quarto;-- Banheiro;1 Vaga;Rua Santa Luzia - Trindade, Florianópolis - SC;R$ 300 /mês
22;Ponto comercial/Loja/Box para Aluguel, 44m²;80 m²;-- Quarto;1 Banheiro;-- Vaga;Lagoa da Conceição, Florianópolis - SC;R$ 2.000 /mês
23;Imóvel comercial para Aluguel, 27m²;80;-- Quarto;1 Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 850 /mês
24;Casa de condomínio com 5 Quartos para Venda/Aluguel 991m²;36 m²;5 Quartos;7 Banheiros;4 Vagas;Cacupé, Florianópolis - SC;"R$ 40.000 /mês
R$ 12.700.000"
25;Sala/Conjunto para Aluguel, 64m²;36;-- Quarto;2 Banheiros;-- Vaga;Rua Araújo Figueiredo - Centro, Florianópolis - SC;R$ 1.950 /mês
26;Ponto comercial/Loja/Box para Aluguel, 44m²;72 m²;-- Quarto;1 Banheiro;-- Vaga;Lagoa da Conceição, Florianópolis - SC;R$ 2.000 /mês
27;Apartamento com 3 Quartos para Aluguel, 189m²;72;3 Quartos;3 Banheiros;2 Vagas;Rua João Meirelles, 1451 - Abraão, Florianópolis - SC;R$ 5.350 /mês
