;area;room;bath;garage;price;ext_area;property;zone
181;88;0;3;8;7000;462;commercial;midtown
182;462;1;1;0;2563;21;residential;midtown
183;462;0;0;1;2000;64;commercial;midtown
184;21;4;5;2;12000;431;residential;midtown
185;21;4;5;2;18000;350;residential;north
186;64;2;3;1;2200;90;residential;north
187;64;3;1;1;1600;58;residential;continental
188;431;2;1;0;1490;59;residential;midtown
189;431;3;4;4;8500;300;residential;midtown
190;350;3;2;3;2500;115;residential;midtown
191;350;0;1;2;4999;70;commercial;north
192;90;1;1;0;740;34;residential;midtown
193;90;3;2;2;3320;117;residential;midtown
194;58;2;3;2;13000;215;residential;south
195;58;4;2;3;21000;112;residential;east
196;59;3;2;2;3700;108;residential;midtown
197;59;2;1;1;12000;70;residential;north
198;300;3;2;1;2300;78;residential;midtown
199;300;4;5;4;9900;258;residential;continental
200;115;2;2;1;1600;64;residential;north
201;115;2;2;1;12300;62;residential;north
202;70;6;4;0;165000;850;residential;north
203;70;2;3;1;8124;76;residential;midtown
204;34;2;2;1;13500;75;residential;north
205;34;1;1;1;2500;55;residential;midtown
206;117;2;2;2;3900;78;residential;south
207;117;3;2;2;2900;95;residential;midtown
208;215;0;1;0;1250;40;commercial;midtown
209;215;0;1;1;1641;32;commercial;continental
210;112;3;4;4;16000;313;residential;north
211;112;1;1;1;10800;48;residential;north
212;108;3;4;2;7200;124;residential;midtown
213;108;2;1;1;16500;54;residential;north
214;70;3;2;1;2600;89;residential;midtown
215;70;3;3;2;45000;140;residential;north
216;90;2;2;1;3000;90;residential;south
217;90;3;1;1;2300;120;residential;midtown
218;120;2;2;1;4800;78;residential;south
219;120;5;6;6;20000;850;commercial;midtown
220;78;2;2;1;2400;72;residential;midtown
221;78;4;3;2;9800;350;residential;midtown
222;850;0;1;0;3500;150;commercial;south
223;850;3;3;3;36000;100;residential;north
224;72;2;2;1;23970;234;residential;north
225;72;0;2;3;9000;203;commercial;midtown
226;350;2;2;1;2500;100;residential;midtown
227;350;2;2;0;12000;83;residential;north
228;150;1;1;1;7800;51;residential;north
229;150;4;2;3;2950;100;residential;continental
230;100;0;1;1;1100;32;commercial;midtown
231;100;2;1;0;1600;48;residential;midtown
232;234;0;7;6;55000;839;commercial;midtown
233;234;1;1;1;1300;44;residential;continental
234;203;0;1;1;2445;244;commercial;continental
235;203;4;5;3;8500;250;residential;midtown
236;100;2;3;1;7200;89;residential;north
237;100;1;1;0;1000;30;residential;continental
238;83;3;2;1;2350;109;residential;midtown
239;83;6;2;4;75000;120;residential;north
240;51;0;1;0;10000;460;commercial;midtown
241;51;2;1;0;2200;72;residential;midtown
242;100;0;1;0;850;30;commercial;continental
243;100;2;3;2;10000;98;residential;south
244;32;0;1;1;1500;53;commercial;midtown
245;32;3;3;1;5000;119;residential;midtown
246;48;3;3;1;2280;102;residential;midtown
247;48;3;2;0;5900;150;residential;midtown
248;839;2;2;1;2700;69;residential;midtown
249;839;3;2;3;3500;205;residential;continental
250;44;2;2;2;8344;90;residential;midtown
251;44;2;1;1;1900;75;residential;north
252;205;3;2;3;3500;205;residential;continental
253;205;0;1;0;850;30;commercial;continental
254;30;2;1;1;1900;75;residential;north
255;30;2;3;1;7382;76;residential;midtown
256;75;0;1;0;1300;55;commercial;midtown
257;75;2;2;1;3900;80;residential;midtown
258;76;0;1;1;950;42;commercial;midtown
259;76;2;2;2;18000;95;residential;north
260;55;2;2;1;2100;68;residential;continental
261;55;1;1;1;9900;50;residential;north
262;80;2;1;0;1490;59;residential;midtown
263;80;2;1;1;1600;67;residential;continental
264;42;1;1;0;1300;55;residential;midtown
265;42;1;1;0;790;35;residential;midtown
266;95;0;1;1;2009;36;commercial;continental
267;95;0;2;0;9500;150;commercial;midtown
268;68;2;2;2;3500;90;residential;north
269;68;3;2;0;2100;89;residential;north
270;50;2;1;0;1600;61;residential;midtown
271;50;2;2;1;2500;77;residential;south
272;59;3;2;1;2800;81;residential;midtown
273;59;1;1;1;2200;65;residential;midtown
274;67;1;2;1;1950;44;residential;continental
275;67;0;0;1;3500;85;commercial;north
276;55;2;2;1;2500;68;residential;midtown
277;55;0;1;1;1500;34;commercial;midtown
278;35;2;1;3;2500;50;residential;south
279;35;2;2;2;21000;126;residential;north
280;36;4;6;4;15000;600;residential;midtown
281;36;2;2;1;2500;80;residential;midtown
282;150;3;3;1;2450;110;residential;continental
283;150;7;6;6;180000;1100;residential;north
